Unnamed: 0,French,English
0,partie,part
2,chercher,search
3,seulement,only
4,police,police
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,parle,speak
27,compris,understood
28,savais,knew
29,étaient,were
30,pourrais,could
31,affaire,case
32,type,type
33,leurs,their
34,donné,given
36,corps,body
37,yeux,eyes
38,façon,way
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,vieux,old
46,sois,be
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,suite,after
54,venez,come
55,devant,in front of
56,minutes,minutes
57,demandé,request
58,chambre,bedroom
59,mis,placed
60,belle,beautiful
61,droit,law
62,aimerais,would like to
63,aujourd'hui,today
64,mari,husband
65,cause,cause
66,enfin,finally
67,espère,hope
68,eau,water
69,attendez,Wait
72,boulot,job
73,dirait,would say
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
